Player Name,NATIONALITY,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,Goals per game,Assists,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Succ. dribbles,Total duels won,Aerial duels won,Clean sheets,Saves per game,Traditional Keeper,Sweeper Keeper,Ball Playing Defender,No Nonsense Defender,Full Back,All Action Midfielder,Midfield Playmaker,Traditional Winger,Inverted Winger,Goal Poacher,Target Man
faris ramli,SIN,168 cm,Right,30,M,62.5,87.5,78.25,54.25,54.25,36.74698795180723,48.57142857142857,44.565217391304344,28.125,86.5,61.0,47.5,,,,,53.843613709496374,50.488355346853254,58.4788525218888,54.28928421761581,66.41043169572701,65.0289226782908,67.5226726782908,62.2889226782908,66.56392267829081
shah shahiran,SIN,173 cm,Right,8,M,25.0,50.0,94.0,82.75,47.5,57.53012048192771,73.57142857142858,55.97826086956522,32.8125,93.25,50.5,35.5,,,,,63.61699178702388,58.56513441966624,60.914692948813894,60.01055844495997,65.49961549614608,54.15222119845843,54.96784619845843,47.294721198458426,58.28222119845843
taufik suparno,SIN,165 cm,Right,13,M,50.0,50.0,82.75,100.0,45.25,33.13253012048193,35.714285714285715,31.52173913043478,32.8125,71.5,56.5,68.5,,,,,57.76788342812243,46.668428403053205,54.2063935399985,50.70669628825863,60.23905274826012,55.62549609930406,58.628621099304056,56.31299609930405,58.93799609930406
joel chew joon herng,SIN,168 cm,Right,12,M,25.0,25.0,86.5,25.0,25.0,29.518072289156628,25.0,25.0,32.8125,25.0,25.0,25.0,,,,,35.548418674698794,28.449503012048194,28.91743222891566,31.222710843373495,37.91652861445783,28.55598644578313,30.19661144578313,26.710986445783135,26.710986445783135
yasir hanapi,SIN,170 cm,Right,18,M,37.5,62.5,92.5,87.25,77.5,30.42168674698795,30.714285714285715,29.89130434782608,29.6875,75.25,46.0,67.75,,,,,55.80606048417272,44.86732442191125,57.18753746351867,50.292026303973664,64.880738840455,60.96492053618199,57.299295536182,51.694920536181996,56.269920536182
saifullah akbar,SIN,165 cm,Right,20,M,25.0,25.0,90.25,100.0,25.0,35.8433734939759,45.0,31.52173913043478,31.25,78.25,49.0,34.75,,,,,55.17479177579885,45.134415924567826,48.10292430591933,46.70867993713986,53.86575563122054,42.649802252488215,46.61230225248821,41.719802252488215,50.41980225248821
caelan cheong tze jay,SIN,,,58,M,25.0,25.0,75.25,25.0,25.0,29.518072289156628,32.14285714285714,33.152173913043484,29.6875,25.0,58.75,25.0,,,,,38.402455941779536,32.87240673875627,34.38307663885355,34.65935680610641,38.97503016725287,29.830637066901144,34.69001206690115,31.698137066901147,33.38563706690114
kieran tan,SIN,,,80,M,25.0,25.0,100.0,25.0,25.0,25.0,32.14285714285714,25.0,25.0,25.0,25.0,25.0,,,,,37.32142857142857,27.357142857142854,29.464285714285715,32.07142857142857,40.357142857142854,28.892857142857142,30.142857142857142,26.642857142857142,26.642857142857142
glenn kweh,SIN,172 cm,Left,11,D,62.5,62.5,82.75,53.5,46.75,41.265060240963855,47.85714285714286,46.19565217391305,29.6875,70.75,51.25,57.25,,,,,54.01141126618274,48.7127962471002,53.786377918506325,52.58539568210731,60.035267763601,57.69323210544039,60.415107105440384,58.5932321054404,59.53073210544039
jared gallagher,SIN,175 cm,Right,6,D,25.0,25.0,94.75,79.75,85.0,43.0722891566265,60.714285714285715,72.28260869565219,48.4375,62.5,50.5,81.25,,,,,66.07869799072064,58.23388937738531,63.08966292187384,60.528747100202054,62.39533417832821,55.56825867133129,51.54013367133129,48.645758671331286,52.73325867133129
irfan najeeb,SIN,178 cm,Right,23,D,50.0,37.5,94.0,82.0,40.0,53.01204819277108,70.71428571428572,49.45652173913044,56.25,87.25,49.0,60.25,,,,,67.0714147272319,61.48766556910873,60.5904594776622,61.71960225997157,63.58664278230937,56.64865711292374,60.86115711292375,58.24115711292375,63.26615711292374
amirul adli bin azmi,SIN,181 cm,Right,5,D,25.0,25.0,94.0,68.5,49.75,43.0722891566265,61.42857142857142,67.3913043478261,48.4375,100.0,53.5,68.5,,,,,64.5462756304722,61.82014714136047,62.0840262759111,59.9817595225623,61.7964832466512,53.099718298660484,54.65909329866048,52.03471829866048,62.53471829866048
amirul haikal hassim,SIN,162 cm,Left,17,D,25.0,25.0,77.5,100.0,25.0,34.036144578313255,41.42857142857143,25.0,25.0,49.75,81.25,100.0,,,,,60.5361230636833,45.73543459552496,52.07147160068847,49.2497074010327,52.74823580034423,41.4092943201377,48.2842943201377,49.959294320137694,52.73429432013769
syahrul sazali,SIN,179 cm,Right,22,D,25.0,25.0,88.75,100.0,62.5,29.518072289156628,35.714285714285715,29.89130434782608,25.0,25.0,81.25,25.0,,,,,52.33137674923296,36.83592381950161,47.767801017735536,42.99898413529896,52.256183117563424,42.65247324702537,43.90247324702537,37.364973247025375,40.17747324702537
syazwan buhari,SIN,172 cm,Right,24,G,25.0,25.0,94.75,77.5,25.0,43.0722891566265,78.57142857142857,28.26086956521739,31.25,100.0,71.5,100.0,,58.87096774193549,,,69.40493246277033,59.79288782459029,62.97741525106638,60.49764461573,61.42772936466362,49.49809174586545,55.71059174586545,57.230591745865446,67.05559174586544
ridhuan barudin,SIN,182 cm,Right,31,G,25.0,25.0,84.25,58.0,25.0,43.0722891566265,46.42857142857143,25.0,25.0,25.0,25.0,25.0,,100.0,,,43.23046041308089,32.66944061962134,33.5625860585198,37.315129087779695,41.465043029259895,30.40251721170396,31.65251721170396,27.63501721170396,27.63501721170396
