Player Name,Total played,Started,Minutes per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Goal conversion,Penalty goals,Penalty conversion,Assists,Key passes,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Error led to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Yellow,Yellow-Red,Red cards,Clean sheets,Goals conceded per game,Saves per game,Goals conceded,Saves made,Goal kicks per game
boris kopitovic,12,12,90,12,92 min,1.0,2.9,1.5,34%,4/4,100%,2,1.6,13.3 (81%),0.3 (67%),0.5 (40%),1.1,1.3,0.2,0.2,1,0.8 (91%),3.8 (23%),0.0 (0%),1.2,0.6,1.0,1,0,0,,,,,,
kunori seia,12,12,90,9,121 min,0.8,3.6,1.8,21%,0,0%,4,1.3,21.9 (74%),1.4 (55%),1.2 (28%),2.0,3.1,1.2,0.5,2,2.3 (69%),4.9 (34%),0.6 (32%),0.8,0.6,0.2,0,0,0,,,,,,
faris ramli,12,11,81,4,243 min,0.3,2.3,0.9,14%,0,0%,5,2.6,20.4 (71%),0.5 (40%),2.2 (41%),1.3,3.3,1.3,0.2,3,4.0 (81%),6.4 (49%),0.3 (30%),0.3,0.8,0.6,1,0,0,,,,,,
kyoga nakamura,12,12,90,0,,0.0,2.1,0.4,0%,0,0%,3,1.3,58.9 (88%),4.3 (65%),0.8 (50%),3.1,6.3,1.9,1.1,5,2.1 (89%),5.4 (42%),0.3 (50%),1.0,1.4,0.0,1,0,0,,,,,,
shah shahiran,12,11,90,0,,0.0,0.7,0.2,0%,0,0%,2,0.8,52.7 (92%),2.8 (77%),0.2 (22%),3.8,6.8,1.8,0.6,4,0.8 (91%),4.0 (35%),0.1 (14%),0.8,1.1,0.0,2,0,0,,,,,,
taufik suparno,12,0,25,3,100 min,0.3,1.2,0.8,21%,0,0%,2,0.3,4.0 (76%),0.2 (100%),0.3 (27%),1.0,1.5,0.4,0.5,1,1.1 (65%),3.7 (43%),1.1 (57%),0.5,0.6,0.1,2,0,0,,,,,,
joel chew joon herng,1,0,14,0,,0.0,0.0,0.0,0%,0,0%,0,1.0,10.0 (83%),0.0 (0%),0.0 (0%),1.0,0.0,0.0,1.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
yasir hanapi,12,3,28,1,336 min,0.1,0.4,0.2,20%,0,0%,3,0.8,14.7 (90%),0.4 (83%),0.6 (70%),0.6,0.8,0.3,0.3,3,0.3 (67%),1.8 (28%),0.3 (57%),0.3,0.4,0.0,0,0,0,,,,,,
jared gallagher,10,6,51,0,,0.0,0.1,0.0,0%,0,0%,0,0.2,18.7 (91%),1.1 (73%),0.4 (80%),1.9,4.8,2.6,1.2,5,0.1 (50%),3.2 (36%),0.4 (80%),0.9,0.2,0.0,0,0,0,,,,,,
saifullah akbar,8,2,30,0,,0.0,0.3,0.1,0%,0,0%,0,0.3,13.0 (86%),0.9 (100%),0.0 (0%),1.3,2.6,0.5,0.5,4,0.4 (60%),2.0 (31%),0.1 (14%),0.3,0.5,0.0,0,0,0,,,,,,
caelan cheong tze jay,4,0,7,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,1.0 (67%),0.0 (0%),0.0 (0%),0.5,1.0,0.5,0.3,0,0.0 (0%),1.3 (45%),0.3 (0%),0.0,0.3,0.0,0,0,0,,,,,,
kieran tan,1,0,3,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,5.0 (100%),0.0 (0%),0.0 (0%),0.0,1.0,0.0,0.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
shuya yamashita,11,11,90,1,1082 min,0.1,0.8,0.5,11%,0,0%,0,0.2,70.3 (93%),2.2 (53%),0.0 (0%),3.3,10.3,1.7,1.9,10,0.0 (0%),4.9 (43%),2.8 (60%),1.5,0.5,0.0,1,0,0,0,,,,,
glenn kweh,12,10,74,4,221 min,0.3,1.3,0.6,27%,0,0%,3,1.3,19.3 (78%),0.4 (42%),0.8 (26%),1.8,3.3,1.3,0.3,2,1.3 (56%),3.2 (31%),0.3 (43%),0.5,0.4,0.0,0,0,0,0,,,,,
milos zlatkovic,11,11,90,2,536 min,0.2,1.1,0.3,17%,0,0%,0,0.4,60.4 (92%),4.4 (58%),0.0 (0%),4.6,11.2,2.4,2.4,8,0.9 (91%),5.6 (48%),1.8 (65%),1.2,0.8,0.0,5,0,0,0,,,,,
irfan najeeb,12,10,79,3,315 min,0.3,0.8,0.3,33%,0,0%,1,0.2,32.8 (92%),1.2 (74%),0.1 (25%),2.7,5.6,1.2,2.2,5,0.4 (83%),4.1 (33%),1.3 (47%),0.8,0.6,0.0,2,0,0,0,,,,,
amirul adli bin azmi,11,9,78,0,,0.0,0.0,0.0,0%,0,0%,0,0.1,41.9 (92%),1.3 (58%),0.1 (33%),2.0,5.1,2.6,1.5,4,0.4 (100%),3.3 (38%),1.0 (58%),1.3,0.3,0.0,4,0,0,0,,,,,
amirul haikal hassim,3,0,19,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,7.0 (70%),0.3 (100%),0.0 (0%),1.0,2.3,0.0,0.0,1,0.3 (33%),2.0 (75%),0.3 (100%),0.0,0.0,0.0,0,0,0,0,,,,,
syahrul sazali,4,0,11,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,7.0 (85%),0.3 (100%),0.3 (50%),0.5,1.5,0.3,0.0,0,0.0 (0%),0.8 (75%),0.3 (0%),0.0,0.0,0.0,0,0,0,0,,,,,
syazwan buhari,11,11,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,28.5 (92%),5.0 (70%),0.0 (0%),2.0,7.1,0.2,0.5,0,0.2 (100%),0.7 (62%),0.3 (100%),0.0,0.3,0.0,0,0,0,4,1.3,2.4 (65%),14,26,6.1
ridhuan barudin,1,1,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,31.0 (79%),4.0 (44%),0.0 (0%),2.0,3.0,0.0,0.0,1,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,1,0.0,2.0 (100%),0,2,12.0
lennart thy,9,9,90,6,139 min,0.7,4.0,2.0,17%,0,0%,1,1.0,15.4 (77%),0.7 (75%),0.2 (18%),0.9,1.4,0.2,0.4,4,0.9 (80%),4.7 (32%),2.0 (41%),0.2,0.3,0.4,0,0,0,,,,,,
shawal anuar,11,10,76,8,104 min,0.7,2.5,1.2,30%,0,0%,6,1.5,12.5 (80%),0.2 (33%),0.6 (47%),1.6,3.5,0.6,0.2,0,0.8 (69%),3.6 (33%),1.0 (33%),1.0,0.5,0.5,0,0,0,,,,,,
obren kljajic,5,5,90,1,494 min,0.2,0.6,0.2,33%,0,0%,2,1.0,28.8 (85%),0.6 (50%),0.8 (50%),2.8,8.2,3.0,2.4,1,1.4 (54%),7.4 (39%),1.6 (44%),0.6,0.2,0.0,1,0,0,,,,,,
haiqal pashia,8,0,14,1,115 min,0.1,0.8,0.3,17%,0,0%,1,0.3,3.3 (90%),0.1 (100%),0.1 (100%),0.0,0.9,0.3,0.3,0,1.0 (73%),1.8 (48%),0.0 (0%),0.0,0.4,0.1,0,0,0,,,,,,
maxime lestienne,11,11,90,9,116 min,0.8,4.5,1.8,18%,2/2,100%,12,4.5,29.1 (69%),3.4 (47%),2.5 (34%),1.3,3.2,0.4,0.1,1,8.4 (89%),10.3 (63%),0.1 (100%),0.2,0.7,0.7,0,0,0,,,,,,
bart ramselaar,6,5,79,5,94 min,0.8,2.7,1.5,31%,0,0%,1,1.7,23.8 (83%),1.2 (58%),0.0 (0%),1.3,2.5,0.7,0.2,1,2.3 (74%),4.2 (40%),0.0 (0%),0.5,0.7,0.2,1,0,0,,,,,,
rui pires,4,3,73,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,41.3 (90%),1.3 (38%),0.3 (100%),4.3,7.5,1.3,1.0,3,0.0 (0%),3.5 (44%),0.5 (67%),0.5,0.0,0.0,0,0,0,,,,,,
song ui young,9,5,66,3,199 min,0.3,2.0,0.9,17%,0,0%,0,0.6,17.4 (82%),0.7 (46%),0.4 (40%),1.2,2.3,0.2,0.2,1,1.4 (72%),5.4 (44%),0.8 (58%),1.0,1.2,0.1,0,0,0,,,,,,
adam swandi,7,3,44,2,155 min,0.3,1.1,0.3,25%,0,0%,1,0.4,17.4 (82%),0.9 (55%),0.4 (33%),2.1,2.7,1.1,0.0,1,0.4 (75%),2.1 (34%),0.3 (29%),0.3,0.4,0.0,0,0,0,,,,,,
hami syahin,11,10,78,0,,0.0,0.5,0.0,0%,0,0%,0,0.2,31.2 (91%),1.1 (60%),0.1 (33%),3.4,8.0,1.4,0.5,5,0.3 (60%),5.4 (44%),0.7 (50%),1.4,0.5,0.0,3,0,0,,,,,,
anumanthan kumar,11,1,24,0,,0.0,0.1,0.0,0%,0,0%,0,0.0,10.7 (93%),1.3 (88%),0.0 (0%),0.7,2.5,0.3,0.2,3,0.1 (100%),0.9 (31%),0.4 (80%),0.5,0.0,0.0,1,0,0,,,,,,
hafiz nor,10,1,23,0,,0.0,0.2,0.1,0%,0,0%,1,0.3,5.8 (82%),0.1 (17%),0.3 (43%),0.9,1.8,0.6,0.3,0,0.2 (67%),1.6 (50%),0.3 (75%),0.1,0.4,0.1,0,0,0,,,,,,
toni datkovic,11,11,90,2,533 min,0.2,0.6,0.2,29%,0,0%,0,0.4,44.7 (90%),3.5 (57%),0.3 (43%),4.8,8.9,1.4,2.8,4,0.4 (80%),5.0 (46%),1.9 (54%),1.0,0.6,0.1,2,0,0,0,,,,,
bailey wright,10,10,90,3,313 min,0.3,1.0,0.4,30%,0,0%,0,0.0,45.2 (91%),4.2 (60%),0.1 (100%),5.9,10.1,0.7,3.6,8,0.1 (100%),5.2 (53%),2.0 (61%),0.9,0.5,0.2,1,1,1,0,,,,,
hariss harun,11,8,66,0,,0.0,0.3,0.0,0%,0,0%,1,0.5,27.8 (89%),1.3 (52%),0.0 (0%),2.8,6.1,1.2,0.7,2,0.5 (100%),2.9 (38%),0.3 (43%),1.2,0.5,0.0,2,0,0,0,,,,,
christopher van huizen,11,8,77,0,,0.0,0.7,0.2,0%,0,0%,1,0.7,27.5 (77%),1.0 (31%),1.3 (32%),3.5,5.6,2.5,2.0,7,1.1 (67%),3.8 (40%),0.9 (67%),0.2,0.6,0.1,1,0,0,0,,,,,
lionel tan,8,8,81,0,,0.0,0.1,0.0,0%,0,0%,0,0.1,34.6 (88%),1.9 (42%),0.0 (0%),3.1,6.3,3.3,1.4,4,0.1 (50%),2.1 (27%),0.6 (63%),1.1,0.0,0.1,2,0,0,0,,,,,
bill mamadou,2,0,18,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,9.0 (100%),0.0 (0%),0.0 (0%),1.0,1.0,0.5,1.0,0,0.5 (100%),1.0 (67%),0.0 (0%),0.0,0.0,0.0,0,0,0,0,,,,,
izwan mahbud,3,3,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,12.3 (82%),2.0 (50%),0.0 (0%),2.3,4.7,0.0,0.7,0,0.3 (100%),0.7 (100%),0.0 (0%),0.0,0.3,0.0,0,0,0,2,0.3,3.3 (91%),1,10,6.3
zharfan rohaizad,8,8,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,10.5 (79%),2.5 (57%),0.0 (0%),3.0,4.6,0.0,0.9,0,0.0 (0%),0.5 (100%),0.4 (100%),0.0,0.3,0.0,0,0,0,2,1.4,2.3 (62%),11,18,6.4
tomoyuki doi,11,11,90,16,68 min,1.5,5.6,2.5,26%,2/2,100%,1,0.9,13.2 (81%),0.5 (46%),0.2 (20%),0.5,1.2,0.5,0.5,2,3.5 (87%),6.1 (42%),0.2 (12%),0.4,1.1,0.5,0,0,0,,,,,,
mohamed iqbal bin hamid hussain,10,9,81,1,805 min,0.1,0.7,0.1,14%,0,0%,2,1.0,20.4 (81%),1.4 (48%),0.4 (31%),0.5,3.0,1.1,0.0,2,3.6 (80%),6.4 (46%),0.4 (25%),1.0,1.4,0.5,0,0,0,,,,,,
naufal azman,8,2,26,0,,0.0,0.4,0.1,0%,0,0%,1,0.0,2.9 (66%),0.0 (0%),0.0 (0%),0.8,1.1,0.0,0.4,1,0.3 (50%),1.3 (53%),0.1 (25%),0.1,0.5,0.1,0,0,0,,,,,,
vincent bezecourt,11,11,90,5,216 min,0.5,2.2,1.3,21%,0,0%,6,2.1,35.9 (82%),1.8 (43%),0.6 (33%),2.3,5.0,2.3,0.3,5,3.7 (72%),9.9 (47%),0.4 (57%),1.0,2.9,0.0,2,0,0,,,,,,
ryoya taniguchi,10,10,88,3,295 min,0.3,2.7,1.0,11%,0,0%,4,1.2,21.2 (77%),1.0 (50%),0.4 (24%),1.5,2.6,1.4,0.0,3,1.9 (79%),5.6 (36%),0.4 (29%),1.1,2.0,0.6,0,0,0,,,,,,
takahiro tezuka,11,11,90,1,1094 min,0.1,0.4,0.2,25%,0,0%,0,2.2,69.2 (88%),5.8 (62%),0.6 (47%),5.8,10.6,1.7,1.2,10,0.3 (60%),3.5 (36%),1.1 (52%),0.5,0.5,0.0,1,0,0,,,,,,
huzaifah aziz,2,2,68,0,,0.0,0.0,0.0,0%,0,0%,1,0.0,15.5 (86%),1.0 (67%),0.0 (0%),2.0,5.5,3.0,0.5,1,0.0 (0%),4.5 (36%),0.5 (50%),1.5,2.0,0.0,1,0,0,,,,,,
naqiuddin eunos,11,11,90,3,344 min,0.3,0.9,0.5,30%,0,0%,1,0.6,19.0 (79%),0.5 (31%),0.6 (35%),3.9,6.7,2.5,1.9,5,1.4 (71%),4.7 (35%),1.0 (55%),0.6,0.9,0.3,2,0,0,,,,,,
faisal shahril,1,0,4,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
bernard pereira joshua,11,10,90,0,,0.0,0.4,0.1,0%,0,0%,0,0.2,47.1 (88%),1.5 (43%),0.2 (67%),5.6,10.3,3.4,1.8,6,0.8 (90%),4.7 (39%),1.1 (40%),0.5,0.9,0.0,2,0,0,0,,,,,
rio sakuma,7,7,90,2,334 min,0.3,0.9,0.6,33%,0,0%,0,0.0,47.1 (91%),3.4 (56%),0.0 (0%),5.6,7.7,1.7,2.0,5,0.0 (0%),3.0 (39%),0.6 (24%),0.7,0.3,0.1,1,0,0,0,,,,,
keito hariya,11,11,90,0,,0.0,0.2,0.1,0%,0,0%,1,0.0,56.9 (92%),2.6 (57%),0.0 (0%),6.1,10.7,2.0,2.5,12,0.6 (100%),5.5 (47%),2.4 (67%),0.6,0.5,0.1,0,0,0,0,,,,,
syahir ahmad,8,0,22,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,5.1 (77%),0.4 (75%),0.4 (43%),1.1,1.4,0.6,0.4,0,0.6 (71%),1.6 (33%),0.0 (0%),0.1,0.1,0.0,1,0,0,0,,,,,
muhammad shakir bin hamzah,9,9,90,2,417 min,0.2,0.9,0.4,25%,0,0%,0,0.7,33.0 (77%),2.0 (45%),0.9 (33%),3.6,6.1,2.1,2.1,6,0.7 (75%),4.4 (40%),1.1 (48%),0.8,0.7,0.0,3,0,0,0,,,,,
akmal azman,8,4,47,0,,0.0,0.0,0.0,0%,0,0%,0,0.3,18.9 (83%),0.1 (14%),0.3 (20%),3.5,4.4,2.1,1.4,1,0.0 (0%),1.1 (20%),0.4 (33%),0.5,0.0,0.0,1,0,0,0,,,,,
rudy khairullah,4,4,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,14.8 (91%),2.0 (57%),0.0 (0%),3.3,6.3,0.0,0.5,0,0.0 (0%),0.5 (67%),0.3 (50%),0.0,0.3,0.0,0,0,0,1,1.8,3.3 (65%),7,13,7.0
hairul syirhan,7,7,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,11.7 (88%),2.7 (68%),0.0 (0%),1.6,3.9,0.1,0.7,2,0.0 (0%),0.7 (63%),0.4 (100%),0.1,0.4,0.0,2,0,0,1,1.9,2.9 (61%),13,20,7.3
kodai tanaka,11,10,89,16,61 min,1.5,4.1,2.4,36%,4/5,80%,3,0.9,13.9 (80%),0.5 (38%),0.8 (43%),0.6,1.6,0.1,0.2,1,0.9 (77%),4.8 (43%),1.2 (52%),0.8,0.6,1.5,2,0,0,,,,,,
reycredo beremanda,1,0,17,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,4.0 (44%),0.0 (0%),1.0 (25%),1.0,0.0,1.0,2.0,0,0.0 (0%),1.0 (25%),0.0 (0%),0.0,1.0,0.0,0,0,0,,,,,,
amiruldin asraf,8,1,26,2,103 min,0.3,1.1,0.3,22%,0,0%,0,0.1,3.6 (74%),0.1 (100%),0.1 (50%),0.3,0.6,0.1,0.0,0,0.3 (50%),2.3 (45%),0.8 (50%),0.1,0.5,0.1,0,0,0,,,,,,
ismail sassi,11,11,90,7,148 min,0.6,2.5,1.5,26%,0,0%,3,1.2,22.7 (80%),0.3 (75%),0.5 (30%),1.9,4.9,1.0,0.3,1,2.5 (78%),8.0 (42%),1.3 (50%),1.5,1.7,0.4,2,0,0,,,,,,
masahiro sugita,8,8,85,1,679 min,0.1,2.1,0.6,6%,0,0%,0,0.5,48.4 (89%),1.0 (67%),0.3 (14%),2.9,6.9,2.0,0.4,1,2.4 (76%),7.1 (42%),0.5 (57%),1.9,1.8,0.1,3,0,0,,,,,,
riku fukashiro,11,11,90,2,545 min,0.2,2.5,1.1,7%,0,0%,4,1.6,35.5 (81%),0.4 (27%),1.0 (34%),2.6,4.5,1.5,0.7,8,5.3 (73%),11.2 (43%),0.8 (41%),1.7,2.9,0.0,1,0,0,,,,,,
alen kozar,11,11,90,1,1066 min,0.1,1.1,0.4,8%,0,0%,3,1.4,45.8 (82%),2.3 (58%),0.1 (9%),2.8,6.9,1.5,0.5,2,0.9 (67%),3.3 (28%),0.4 (80%),0.9,0.6,0.0,2,0,0,,,,,,
ignatius ang yu heng,9,3,57,3,170 min,0.3,1.0,0.6,33%,0,0%,2,1.2,13.2 (79%),0.3 (75%),0.6 (45%),0.6,1.9,0.3,0.0,4,1.3 (63%),2.9 (31%),0.2 (29%),0.8,0.7,0.1,0,0,0,,,,,,
madhu mohana,11,11,90,0,,0.0,0.5,0.1,0%,0,0%,1,0.5,30.6 (88%),2.0 (59%),0.1 (33%),4.8,9.3,1.7,3.0,6,0.0 (0%),4.8 (42%),2.0 (45%),1.2,0.2,0.0,2,0,0,0,,,,,
darren teh,10,10,90,0,,0.0,0.3,0.0,0%,0,0%,0,1.0,29.2 (82%),0.9 (47%),1.1 (34%),2.9,5.9,3.4,1.1,6,0.7 (70%),4.0 (33%),0.2 (22%),0.5,0.7,0.0,1,0,0,0,,,,,
kanadi harith,10,9,85,0,,0.0,0.9,0.1,0%,0,0%,1,1.9,27.7 (76%),1.9 (42%),2.0 (43%),3.6,6.2,3.5,1.8,4,1.8 (82%),4.2 (29%),0.3 (21%),0.5,0.8,0.0,1,0,0,0,,,,,
jordan emaviwe,10,10,90,1,959 min,0.1,0.6,0.2,17%,0,0%,0,0.1,37.8 (89%),1.4 (70%),0.0 (0%),5.7,9.9,1.8,3.7,7,0.5 (100%),6.4 (42%),2.4 (65%),0.8,0.7,0.0,3,0,0,0,,,,,
tajeli salamat,10,9,89,0,,0.0,1.3,0.3,0%,0,0%,2,0.9,35.1 (83%),4.5 (58%),0.5 (38%),5.5,10.1,2.3,1.9,5,0.1 (25%),3.0 (34%),0.9 (56%),0.8,0.6,0.0,2,1,1,0,,,,,
fudhil iyadh,8,3,38,0,,0.0,0.3,0.3,0%,0,0%,0,0.0,11.1 (77%),0.5 (67%),0.1 (11%),1.3,2.8,2.1,0.4,0,0.6 (63%),2.0 (26%),0.0 (0%),0.6,0.8,0.0,0,0,0,0,,,,,
emmeric ong yu min,3,0,17,0,,0.0,0.3,0.0,0%,0,0%,0,0.0,4.3 (87%),0.3 (100%),0.0 (0%),0.7,1.7,1.0,0.7,2,0.0 (0%),1.3 (44%),0.3 (50%),0.0,0.0,0.0,0,0,0,0,,,,,
amer hakeem,8,3,33,1,260 min,0.1,0.8,0.4,17%,0,0%,0,0.0,9.4 (82%),0.3 (50%),0.1 (100%),1.6,3.8,1.0,0.9,3,0.0 (0%),2.0 (39%),1.5 (63%),0.1,0.3,0.0,1,0,0,0,,,,,
hafiz ahmad,11,11,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,22.2 (82%),4.0 (51%),0.0 (0%),3.3,7.1,0.4,1.1,2,0.2 (100%),1.1 (71%),0.6 (88%),0.0,0.0,0.0,0,0,0,1,2.9,4.5 (60%),32,49,6.2
petar banovic,7,3,42,0,,0.0,0.6,0.1,0%,0,0%,1,0.1,4.4 (78%),0.4 (60%),0.0 (0%),1.1,1.3,0.7,0.7,0,1.0 (58%),2.6 (32%),1.0 (50%),0.7,0.6,0.3,1,0,0,,,,,,
dejan racic,9,8,85,8,96 min,0.9,2.2,1.3,40%,0,0%,2,1.2,10.1 (73%),0.0 (0%),0.1 (33%),0.4,2.1,0.0,0.0,1,3.1 (54%),7.7 (37%),0.2 (13%),0.0,0.9,0.4,0,0,0,,,,,,
zamani zamri,5,0,18,0,,0.0,0.4,0.2,0%,0,0%,1,0.2,1.8 (82%),0.2 (100%),0.2 (33%),0.0,0.2,0.0,0.0,0,0.4 (100%),1.0 (50%),0.6 (60%),0.2,0.0,0.0,1,0,0,,,,,,
louka tan vaissiere,2,0,15,0,,0.0,1.0,0.5,0%,0,0%,0,0.0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.5,0.0,0.0,0,0.0 (0%),0.5 (17%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
stjepan plazonja,10,9,85,6,142 min,0.6,3.0,1.5,20%,0,0%,5,1.6,14.9 (58%),0.8 (57%),2.1 (30%),1.5,2.6,0.6,0.9,1,3.3 (61%),6.3 (41%),1.2 (60%),0.7,0.7,0.5,0,0,0,,,,,,
gabriel quak,11,2,28,0,,0.0,1.1,0.4,0%,0,0%,1,0.4,4.7 (68%),0.2 (40%),0.0 (0%),0.2,0.7,0.2,0.1,0,1.3 (64%),1.6 (38%),0.0 (0%),0.0,0.0,0.2,0,0,0,,,,,,
shahdan bin sulaiman,11,9,87,1,959 min,0.1,0.5,0.1,20%,0,0%,1,0.7,42.0 (90%),2.8 (70%),0.3 (75%),1.2,3.8,2.1,0.2,5,0.1 (100%),2.0 (31%),0.0 (0%),0.3,0.2,0.0,0,0,0,,,,,,
shodai yokoyama,12,12,90,0,,0.0,1.3,0.5,0%,0,0%,1,1.6,28.3 (83%),1.9 (55%),1.3 (45%),2.5,5.0,1.6,0.5,4,3.8 (79%),8.1 (46%),0.2 (17%),0.3,1.8,0.0,0,0,0,,,,,,
