Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
martens daniel,non-gk,25,25,87.25,62.5,100,44.23076923,43.02884615,38.04347826,37.5,25,40,100,0,0,28.88515468,41.86515468,57.00169314,44.68521739,54.49063545,50.69829013,53.79015468,50.36856187,42.49356187,42.12606187,39.12606187,0,0,1,0,1,1,1,1,0,0,0
madhu mohana,non-gk,25,25,86.5,62.5,100,40.38461538,52.40384615,41.30434783,39.0625,25,54.25,72.25,0,0,28.03776547,40.95776547,56.52569816,45.25796405,55.16468855,50.83870401,54.18776547,50.18748119,43.81560619,40.89498119,39.99498119,0,0,1,0,1,1,1,1,0,0,0
darren teh,non-gk,25,25,91.75,77.5,25,79.80769231,96.39423077,54.34782609,82.8125,100,56.5,73.75,0,0,38.07811246,51.86811246,78.109699,77.55818144,67.81570861,71.87507107,65.18811246,51.73911998,59.02974498,55.69911998,66.08661998,0,1,1,1,1,1,1,1,1,1,1
kanadi harith,non-gk,25,50,87.25,68.5,53.5,77.88461538,97.83653846,62.5,54.6875,43.75,50.5,67,0,0,33.51793269,46.51293269,70.60038462,64.34086538,61.74149038,66.71317308,63.45043269,50.25379808,51.26317308,45.78129808,47.76879808,0,0,1,1,1,1,1,1,1,0,0
jordan emaviwe,non-gk,35.71428571,25,82.75,75.25,33.25,37.5,45.19230769,59.23913043,31.25,72.25,44.5,25,0,0,23.65371476,36.62621476,51.25008839,46.37641543,47.15797301,47.24847348,51.38835762,43.90648591,46.71720019,42.73862876,49.19398591,0,0,1,0,0,0,1,0,0,0,0
tajeli salamat,non-gk,25,37.5,91,69.25,49.75,71.15384615,92.06730769,52.7173913,71.875,25,56.5,58.75,0,0,31.99067726,45.30817726,69.36442726,61.45685619,57.32673495,63.07991221,59.48067726,45.4250209,48.4562709,42.6000209,42.4875209,0,0,1,1,1,1,1,0,0,0,0
fudhil iyadh,non-gk,25,37.5,82,56.5,57.25,59.61538462,69.71153846,82.06521739,53.125,86.5,46.75,40.75,0,0,30.84085702,42.49335702,61.60883779,63.54897993,60.82720318,61.1480602,60.74585702,52.82659281,52.82034281,46.70909281,56.23409281,0,0,1,1,1,1,1,1,1,0,1
emmeric ong yu min,non-gk,25,25,86.5,60.25,50.5,52.88461538,67.54807692,80.43478261,42.1875,77.5,49.75,41.5,0,0,29.59774875,41.84274875,60.09885452,58.82092391,57.24438336,57.94088211,57.20274875,48.0867245,48.8460995,44.5542245,52.8417245,0,0,1,1,1,1,1,0,0,0,1
amer hakeem,non-gk,35.71428571,25,90.25,100,25,31.73076923,37.25961538,41.30434783,35.9375,25,58,62.5,0,0,25.52375448,40.99375448,55.98238772,40.4451069,43.43791657,45.49970676,50.71589734,38.55812679,44.19071608,42.63276965,40.80062679,0,0,1,0,0,0,1,0,0,0,0
glenn kweh,non-gk,57.14285714,62.5,83.5,56.5,44.5,42.30769231,48.79807692,46.19565217,29.6875,67,48.25,57.25,0,0,27.13587464,38.78087464,54.11052437,48.12731068,52.71509167,52.17257346,59.62230321,55.68647486,58.17799271,55.77540343,56.80397486,0,0,1,0,1,1,1,1,1,1,1
