Player Name,NATIONALITY,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,Goals per game,Assists,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Succ. dribbles,Total duels won,Aerial duels won,Clean sheets,Saves per game,Traditional Keeper,Sweeper Keeper,Ball Playing Defender,No Nonsense Defender,Full Back,All Action Midfielder,Midfield Playmaker,Traditional Winger,Inverted Winger,Goal Poacher,Target Man,Class_Traditional Keeper,Class_Sweeper Keeper,Class_Ball Playing Defender,Class_No Nonsense Defender,Class_Full Back,Class_All Action Midfielder,Class_Midfield Playmaker,Class_Traditional Winger,Class_Inverted Winger,Class_Goal Poacher,Class_Target Man
faris ramli,SIN,168 cm,Right,30,M,62.5,87.5,78.25,54.25,54.25,36.74698795180723,48.57142857142857,80.43478260869566,28.125,86.5,61.0,47.5,0.0,0.0,30.103909956596574,41.24640995659657,55.63709197036594,54.792703172940215,60.27233078275836,57.876240739354934,68.20390995659658,65.74631398263863,68.24006398263863,63.00631398263863,67.28131398263864,0,0,1,1,1,1,1,1,1,1,1
shah shahiran,SIN,173 cm,Right,8,M,25.0,50.0,94.0,82.75,47.5,57.53012048192771,73.57142857142858,69.02173913043478,32.8125,93.25,50.5,35.5,0.0,0.0,30.144289409189557,44.75928940918955,64.26916570006736,60.130351810970595,61.56686686185738,61.31490627104692,66.15178940918956,54.41309076367582,55.22871576367582,47.555590763675816,58.54309076367582,0,0,1,1,1,1,1,1,1,0,1
taufik suparno,SIN,165 cm,Right,13,M,50.0,50.0,82.75,100.0,45.25,33.13253012048193,35.714285714285715,93.47826086956522,32.8125,71.5,56.5,68.5,0.0,0.0,31.391878835216644,46.46437883521664,60.86570951507895,54.10321101174886,57.30421962695503,56.90234846217167,63.33687883521664,56.86462653408667,59.867751534086665,57.55212653408666,60.17712653408667,0,0,1,1,1,1,1,1,1,1,1
joel chew joon herng,SIN,168 cm,Right,12,M,25.0,25.0,86.5,25.0,25.0,29.518072289156628,25.0,100.0,32.8125,25.0,25.0,25.0,0.0,0.0,18.84652861445783,28.016528614457833,39.298418674698794,37.4495030120482,32.66743222891566,38.72271084337349,41.66652861445783,30.05598644578313,31.69661144578313,28.210986445783135,28.210986445783135,0,0,0,0,0,0,0,0,0,0,0
yasir hanapi,SIN,170 cm,Right,18,M,37.5,62.5,92.5,87.25,77.5,30.42168674698795,30.714285714285715,95.10869565217392,29.6875,75.25,46.0,67.75,0.0,0.0,30.57910840567238,45.73410840567238,59.06693004939011,52.69341137843299,60.44840702873607,56.813765434408445,68.14160840567239,62.269268362268946,58.603643362268954,52.99926836226895,57.57426836226895,0,0,1,1,1,1,1,1,1,1,1
saifullah akbar,SIN,165 cm,Right,20,M,25.0,25.0,90.25,100.0,25.0,35.8433734939759,45.0,93.47826086956522,31.25,78.25,49.0,34.75,0.0,0.0,27.37108171817706,42.84108171817706,58.27261786275537,52.56919853326348,51.200750392875854,52.90433211105291,56.96358171817705,43.888932687270824,47.85143268727082,42.95893268727082,51.65893268727082,0,0,1,1,1,1,1,0,0,0,1
caelan cheong tze jay,SIN,,,58,M,25.0,25.0,75.25,25.0,25.0,29.518072289156628,32.14285714285714,91.84782608695652,29.6875,25.0,58.75,25.0,0.0,0.0,21.789812775948516,30.059812775948515,41.33723855047519,39.91588499962583,37.3178592475492,40.528922023497714,41.90981277594852,31.0045501103794,35.8639251103794,32.872050110379405,34.559550110379405,0,0,0,0,0,0,0,0,0,0,0
kieran tan,SIN,,,80,M,25.0,25.0,100.0,25.0,25.0,25.0,32.14285714285714,100.0,25.0,25.0,25.0,25.0,0.0,0.0,18.857142857142858,29.107142857142858,41.07142857142857,36.357142857142854,33.214285714285715,39.57142857142857,44.107142857142854,30.392857142857142,31.642857142857142,28.142857142857142,28.142857142857142,0,0,0,0,0,0,0,0,0,0,0
glenn kweh,SIN,172 cm,Left,11,D,62.5,62.5,82.75,53.5,46.75,41.265060240963855,47.85714285714286,78.80434782608695,29.6875,70.75,51.25,57.25,25.0,0.0,35.17820254620969,44.29570254620969,55.64184604879144,52.62583972536107,55.41681270111502,55.8462652473247,61.66570254620969,58.34540601848387,61.06728101848387,59.24540601848388,60.18290601848387,0,0,1,1,1,1,1,1,1,1,1
jared gallagher,SIN,175 cm,Right,6,D,25.0,25.0,94.75,79.75,85.0,43.0722891566265,60.714285714285715,52.71739130434783,48.4375,62.5,50.5,81.25,25.0,0.0,38.237073308763,50.797073308763004,65.10043712115542,55.886063290428794,62.11140205230862,58.57222536107162,61.417073308762994,55.1769543235052,51.14882932350521,48.2544543235052,52.3419543235052,0,1,1,1,1,1,1,1,1,0,1
irfan najeeb,SIN,178 cm,Right,23,D,50.0,37.5,94.0,82.0,40.0,53.01204819277108,70.71428571428572,75.54347826086956,56.25,87.25,49.0,60.25,25.0,0.0,39.25849060839632,51.48849060839631,68.37576255331885,64.61810035171743,61.89480730374916,64.32829791214547,64.89099060839632,57.170396243358525,61.38289624335853,58.76289624335853,63.787896243358524,0,1,1,1,1,1,1,1,1,1,1
amirul adli bin azmi,SIN,181 cm,Right,5,D,25.0,25.0,94.0,68.5,49.75,43.0722891566265,61.42857142857142,57.60869565217391,48.4375,100.0,53.5,68.5,25.0,0.0,38.472352811868596,49.71985281186859,64.05714519568959,60.64623409788221,61.59489584112849,59.00349865299708,61.30735281186859,52.90406612474744,54.46344112474743,51.83906612474743,62.33906612474743,0,0,1,1,1,1,1,1,1,1,1
amirul haikal hassim,SIN,162 cm,Left,17,D,25.0,25.0,77.5,100.0,25.0,34.036144578313255,41.42857142857143,100.0,25.0,49.75,81.25,100.0,25.0,0.0,41.18573580034423,53.385735800344236,64.2861230636833,54.73543459552496,55.82147160068847,56.7497074010327,56.49823580034423,42.9092943201377,49.7842943201377,51.459294320137694,54.23429432013769,0,1,1,1,1,1,1,0,0,1,1
