Player Name,Total played,Started,Minutes per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Goal conversion,Penalty goals,Penalty conversion,Assists,Key passes,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Error led to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Yellow,Yellow-Red,Red cards,NATIONALITY,27 APR 1995,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,31 MAR 2001,5 JAN 2005,24 AUG 1992,25 APR 1996,14 NOV 1999,31 OCT 1995,9 FEB 2000,21 JUN 1989,31 JAN 1999,22 JAN 2006,1 JAN 2008,Clean sheets,26 MAR 2000,16 APR 1999,18 JAN 2002,1 JAN 1997,31 JUL 1999,13 JAN 1996,11 OCT 1999,3 JUN 1998,26 JUL 2005,Goals conceded per game,Saves per game,Goals conceded,Saves made,Goal kicks per game,22 AUG 1992,23 MAR 1987,25 FEB 1992,29 APR 1991,18 SEPT 2003,29 NOV 1998,17 JUN 1992,29 JUN 1996,22 MAR 1998,8 NOV 1993,12 JAN 1996,16 DEC 1998,14 JUL 1994,22 AUG 1988,6 NOV 1993,28 JUL 1992,19 NOV 1990,28 NOV 1992,5 JUN 1997,8 SEPT 2001,14 JUL 1990,21 FEB 1997,24 SEPT 1997,10 JUL 1998,10 JUN 1993,31 AUG 1999,6 JUN 1993,25 JUN 1998,26 JUL 1994,12 JAN 1997,7 MAY 1997,10 OCT 1997,14 APR 1997,18 MAY 2003,10 APR 1992,20 OCT 1992,21 NOV 2000,19 JUL 1994,21 AUG 1995,23 DEC 1999,27 JAN 2004,8 JAN 1997,24 DEC 1991,24 NOV 1999,12 APR 2000,7 APR 1995,11 NOV 1992,8 MAY 2001,9 APR 2001,6 MAR 1991,9 SEPT 1996,1 AUG 2000,18 AUG 2001,7 FEB 1994,25 JAN 1991,8 NOV 1998,30 DEC 1998,11 SEPT 1997,15 JUL 1998,31 MAY 2001,13 JUN 2005,2 JAN 1998,22 DEC 1990,9 MAY 1988,14 OCT 2000,2 JUL 2003,2 FEB 1994,17 FEB 1998,12 OCT 2005,13 FEB 1999,11 FEB 1991,13 JUN 2003,25 SEPT 2000,2 MAR 1999,8 MAY 2004,10 MAR 1999,24 JUL 1987,7 DEC 1998,23 NOV 1995,2 OCT 1994,22 JUN 1995,11 JAN 1992,14 MAY 2003,16 JUL 2002,6 JAN 1988,20 APR 1991,24 SEPT 2000,19 APR 1997,22 FEB 1997,8 FEB 2003,15 JAN 1993,25 MAR 1996,1 JUL 2004,5 FEB 1988,17 SEPT 1988,19 DEC 1995,26 DEC 2004,11 APR 1998,6 MAR 2001,2 AUG 1986,13 MAY 1992,13 AUG 1999,2 MAY 1989,20 AUG 1993,24 FEB 2003,20 JUL 2004,9 DEC 1999,30 MAY 1998,5 MAY 2004,10 MAY 2000,31 MAY 1998,25 FEB 1999,28 FEB 1997,24 FEB 2004,2 APR 1984,21 JUN 2005,4 FEB 1992,4 JUN 2000,27 JUN 2006,2 FEB 2002,27 APR 1999,25 FEB 2001,5 SEPT 2002,29 MAR 2003,14 OCT 2004,26 MAR 2006,26 JUN 2008,7 MAY 1999,10 NOV 2002,6 APR 2004,31 MAY 2002,20 JAN 2005,22 MAR 2007,13 APR 2001,9 JAN 2004,11 JAN 2003,5 AUG 2005,18 SEPT 2005,18 FEB 2003,24 DEC 2004,23 OCT 2004,12 JUL 1992,21 SEPT 1993,7 NOV 2001,30 OCT 1994,8 JUL 1992,9 JAN 2002,8 NOV 2000,2 MAY 1996,17 DEC 2001,23 NOV 2004,18 MAY 1995,14 FEB 1995,30 MAY 1995,28 APR 2000,5 DEC 2006,15 FEB 1995,21 AUG 2001,14 NOV 2000
boris kopitovic,13,13,90,12,101 min,0.9,2.9,1.5,32%,4/4,100%,2,1.5,12.8 (80%),0.3 (67%),0.5 (33%),1.4,1.3,0.2,0.4,1,0.9 (92%),4.3 (25%),0.0 (0%),1.2,0.6,1.1,1,0,0,MNE,29 yrs,189 cm,Both,9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunori seia,13,13,90,10,119 min,0.8,3.5,1.7,22%,0,0%,4,1.2,22.2 (75%),1.3 (55%),1.2 (28%),1.9,3.0,1.2,0.5,2,2.2 (68%),4.8 (33%),0.5 (29%),0.8,0.6,0.2,0,0,0,JPN,,180 cm,Right,7,F,23 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thitipat ekarunpong,1,0,10,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,3.0 (75%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,THA,,183 cm,Left,,F,,19 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faris ramli,13,12,82,4,265 min,0.3,2.2,0.9,14%,0,0%,5,2.5,20.7 (71%),0.5 (39%),2.1 (39%),1.3,3.3,1.2,0.2,3,4.1 (82%),6.4 (48%),0.2 (30%),0.4,0.8,0.5,1,0,0,SIN,,168 cm,Right,30,M,,,32 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyoga nakamura,13,13,90,0,,0.0,2.2,0.5,0%,0,0%,3,1.3,59.1 (87%),4.3 (66%),0.8 (46%),3.2,6.2,2.1,1.2,5,2.2 (88%),5.8 (44%),0.4 (56%),1.0,1.6,0.0,1,0,0,JPN,,166 cm,Left,10,M,,,,28 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shah shahiran,13,12,90,0,,0.0,0.7,0.2,0%,0,0%,2,0.9,54.0 (92%),2.8 (77%),0.2 (30%),3.6,6.8,1.9,0.5,5,0.8 (91%),3.9 (34%),0.1 (14%),0.8,1.1,0.0,3,0,0,SIN,,173 cm,Right,8,M,,,,,24 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taufik suparno,13,0,24,3,106 min,0.2,1.1,0.7,21%,0,0%,2,0.2,3.8 (77%),0.2 (100%),0.2 (27%),0.9,1.5,0.4,0.5,1,1.0 (62%),3.5 (42%),1.1 (58%),0.6,0.5,0.1,2,1,1,SIN,,165 cm,Right,13,M,,,,,,28 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joel chew joon herng,2,0,14,0,,0.0,0.0,0.0,0%,0,0%,0,0.5,7.0 (82%),0.0 (0%),0.0 (0%),0.5,0.0,0.0,0.5,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,SIN,,168 cm,Right,12,M,,,,,,,24 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yasir hanapi,12,3,28,1,336 min,0.1,0.4,0.2,20%,0,0%,3,0.8,14.7 (90%),0.4 (83%),0.6 (70%),0.6,0.8,0.3,0.3,3,0.3 (67%),1.8 (28%),0.3 (57%),0.3,0.4,0.0,0,0,0,SIN,,170 cm,Right,18,M,,,,,,,,35 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saifullah akbar,9,2,33,0,,0.0,0.2,0.1,0%,0,0%,0,0.2,14.9 (87%),0.8 (100%),0.0 (0%),1.2,2.8,0.4,0.4,4,0.6 (71%),2.1 (32%),0.1 (13%),0.3,0.7,0.0,0,0,0,SIN,,165 cm,Right,20,M,,,,,,,,,25 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caelan cheong tze jay,4,0,7,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,1.0 (67%),0.0 (0%),0.0 (0%),0.5,1.0,0.5,0.3,0,0.0 (0%),1.3 (45%),0.3 (0%),0.0,0.3,0.0,0,0,0,SIN,,,,58,M,,,,,,,,,,18 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kieran tan,1,0,3,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,5.0 (100%),0.0 (0%),0.0 (0%),0.0,1.0,0.0,0.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,SIN,,,,80,M,,,,,,,,,,,16 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glenn kweh,13,11,74,4,240 min,0.3,1.3,0.7,24%,0,0%,3,1.3,19.6 (77%),0.5 (38%),0.9 (29%),1.8,3.2,1.3,0.3,2,1.7 (61%),3.7 (35%),0.2 (43%),0.5,0.5,0.0,0,0,0,SIN,,172 cm,Left,11,D,,,,,,,,,,,,0,24 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuya yamashita,12,12,90,1,1182 min,0.1,0.8,0.4,10%,0,0%,0,0.2,71.0 (94%),2.1 (53%),0.0 (0%),3.5,10.3,1.8,1.9,10,0.0 (0%),4.8 (42%),2.7 (57%),1.3,0.5,0.1,1,0,0,JPN,,180 cm,Right,4,D,,,,,,,,,,,,0,,25 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jared gallagher,11,7,55,0,,0.0,0.1,0.0,0%,0,0%,0,0.2,24.0 (93%),1.0 (73%),0.4 (80%),2.0,5.0,2.9,1.5,5,0.1 (50%),3.2 (34%),0.5 (75%),0.9,0.2,0.0,0,0,0,SIN,,175 cm,Right,6,D,,,,,,,,,,,,0,,,22 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
