Player Name,Total played,Started,Minutes per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Goal conversion,Penalty goals,Penalty conversion,Assists,Key passes,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Error led to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Yellow,Yellow-Red,Red cards,Clean sheets,Goals conceded per game,Saves per game,Goals conceded,Saves made,Goal kicks per game
faris ramli,12,11,81,4,243 min,0.3,2.3,0.9,14%,0,0%,5,2.6,20.4 (71%),0.5 (40%),2.2 (41%),1.3,3.3,1.3,0.2,3,4.0 (81%),6.4 (49%),0.3 (30%),0.3,0.8,0.6,1,0,0,,,,,,
kunori seia,12,12,90,9,121 min,0.8,3.6,1.8,21%,0,0%,4,1.3,21.9 (74%),1.4 (55%),1.2 (28%),2.0,3.1,1.2,0.5,2,2.3 (69%),4.9 (34%),0.6 (32%),0.8,0.6,0.2,0,0,0,,,,,,
boris kopitovic,12,12,90,12,92 min,1.0,2.9,1.5,34%,4/4,100%,2,1.6,13.3 (81%),0.3 (67%),0.5 (40%),1.1,1.3,0.2,0.2,1,0.8 (91%),3.8 (23%),0.0 (0%),1.2,0.6,1.0,1,0,0,,,,,,
kyoga nakamura,12,12,90,0,,0.0,2.1,0.4,0%,0,0%,3,1.3,58.9 (88%),4.3 (65%),0.8 (50%),3.1,6.3,1.9,1.1,5,2.1 (89%),5.4 (42%),0.3 (50%),1.0,1.4,0.0,1,0,0,,,,,,
milos zlatkovic,11,11,90,2,536 min,0.2,1.1,0.3,17%,0,0%,0,0.4,60.4 (92%),4.4 (58%),0.0 (0%),4.6,11.2,2.4,2.4,8,0.9 (91%),5.6 (48%),1.8 (65%),1.2,0.8,0.0,5,0,0,0,,,,,
glenn kweh,12,10,74,4,221 min,0.3,1.3,0.6,27%,0,0%,3,1.3,19.3 (78%),0.4 (42%),0.8 (26%),1.8,3.3,1.3,0.3,2,1.3 (56%),3.2 (31%),0.3 (43%),0.5,0.4,0.0,0,0,0,0,,,,,
shah shahiran,12,11,90,0,,0.0,0.7,0.2,0%,0,0%,2,0.8,52.7 (92%),2.8 (77%),0.2 (22%),3.8,6.8,1.8,0.6,4,0.8 (91%),4.0 (35%),0.1 (14%),0.8,1.1,0.0,2,0,0,,,,,,
irfan najeeb,12,10,79,3,315 min,0.3,0.8,0.3,33%,0,0%,1,0.2,32.8 (92%),1.2 (74%),0.1 (25%),2.7,5.6,1.2,2.2,5,0.4 (83%),4.1 (33%),1.3 (47%),0.8,0.6,0.0,2,0,0,0,,,,,
taufik suparno,12,0,25,3,100 min,0.3,1.2,0.8,21%,0,0%,2,0.3,4.0 (76%),0.2 (100%),0.3 (27%),1.0,1.5,0.4,0.5,1,1.1 (65%),3.7 (43%),1.1 (57%),0.5,0.6,0.1,2,0,0,,,,,,
syazwan buhari,11,11,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,28.5 (92%),5.0 (70%),0.0 (0%),2.0,7.1,0.2,0.5,0,0.2 (100%),0.7 (62%),0.3 (100%),0.0,0.3,0.0,0,0,0,4,1.3,2.4 (65%),14,26,6.1
shuya yamashita,11,11,90,1,1082 min,0.1,0.8,0.5,11%,0,0%,0,0.2,70.3 (93%),2.2 (53%),0.0 (0%),3.3,10.3,1.7,1.9,10,0.0 (0%),4.9 (43%),2.8 (60%),1.5,0.5,0.0,1,0,0,0,,,,,
yasir hanapi,12,3,28,1,336 min,0.1,0.4,0.2,20%,0,0%,3,0.8,14.7 (90%),0.4 (83%),0.6 (70%),0.6,0.8,0.3,0.3,3,0.3 (67%),1.8 (28%),0.3 (57%),0.3,0.4,0.0,0,0,0,,,,,,
ridhuan barudin,1,1,90,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,31.0 (79%),4.0 (44%),0.0 (0%),2.0,3.0,0.0,0.0,1,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,1,0.0,2.0 (100%),0,2,12.0
suknate thanet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joel chew joon herng,1,0,14,0,,0.0,0.0,0.0,0%,0,0%,0,1.0,10.0 (83%),0.0 (0%),0.0 (0%),1.0,0.0,0.0,1.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
syahrul sazali,4,0,11,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,7.0 (85%),0.3 (100%),0.3 (50%),0.5,1.5,0.3,0.0,0,0.0 (0%),0.8 (75%),0.3 (0%),0.0,0.0,0.0,0,0,0,0,,,,,
saifullah akbar,8,2,30,0,,0.0,0.3,0.1,0%,0,0%,0,0.3,13.0 (86%),0.9 (100%),0.0 (0%),1.3,2.6,0.5,0.5,4,0.4 (60%),2.0 (31%),0.1 (14%),0.3,0.5,0.0,0,0,0,,,,,,
caelan cheong tze jay,4,0,7,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,1.0 (67%),0.0 (0%),0.0 (0%),0.5,1.0,0.5,0.3,0,0.0 (0%),1.3 (45%),0.3 (0%),0.0,0.3,0.0,0,0,0,,,,,,
jared gallagher,10,6,51,0,,0.0,0.1,0.0,0%,0,0%,0,0.2,18.7 (91%),1.1 (73%),0.4 (80%),1.9,4.8,2.6,1.2,5,0.1 (50%),3.2 (36%),0.4 (80%),0.9,0.2,0.0,0,0,0,,,,,,
amirul adli bin azmi,11,9,78,0,,0.0,0.0,0.0,0%,0,0%,0,0.1,41.9 (92%),1.3 (58%),0.1 (33%),2.0,5.1,2.6,1.5,4,0.4 (100%),3.3 (38%),1.0 (58%),1.3,0.3,0.0,4,0,0,0,,,,,
thitipat ekarunpong,1,0,10,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,3.0 (75%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,,
amirul haikal hassim,3,0,19,0,,0.0,0.0,0.0,0%,0,0%,0,0.0,7.0 (70%),0.3 (100%),0.0 (0%),1.0,2.3,0.0,0.0,1,0.3 (33%),2.0 (75%),0.3 (100%),0.0,0.0,0.0,0,0,0,0,,,,,
