Player Name,NATIONALITY,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,Goals per game,Assists,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Succ. dribbles,Total duels won,Aerial duels won,Clean sheets,Saves per game
faris ramli,SIN,168 cm,Right,30.0,M,0.3,5,0.71,0.39,0.39,1.3,3.3,1.2,0.2,0.82,0.48,0.3,,
shah shahiran,SIN,173 cm,Right,8.0,M,0.0,2,0.92,0.77,0.3,3.6,6.8,1.9,0.5,0.91,0.34,0.14,,
taufik suparno,SIN,165 cm,Right,13.0,M,0.2,2,0.77,1.0,0.27,0.9,1.5,0.4,0.5,0.62,0.42,0.58,,
joel chew joon herng,SIN,168 cm,Right,12.0,M,0.0,0,0.82,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,
yasir hanapi,SIN,170 cm,Right,18.0,M,0.1,3,0.9,0.83,0.7,0.6,0.8,0.3,0.3,0.67,0.28,0.57,,
saifullah akbar,SIN,165 cm,Right,20.0,M,0.0,0,0.87,1.0,0.0,1.2,2.8,0.4,0.4,0.71,0.32,0.13,,
caelan cheong tze jay,SIN,,,58.0,M,0.0,0,0.67,0.0,0.0,0.5,1.0,0.5,0.3,0.0,0.45,0.0,,
kieran tan,SIN,,,80.0,M,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
glenn kweh,SIN,172 cm,Left,11.0,D,0.3,3,0.77,0.38,0.29,1.8,3.2,1.3,0.3,0.61,0.35,0.43,0.0,
jared gallagher,SIN,175 cm,Right,6.0,D,0.0,0,0.93,0.73,0.8,2.0,5.0,2.9,1.5,0.5,0.34,0.75,0.0,
irfan najeeb,SIN,178 cm,Right,23.0,D,0.2,1,0.92,0.76,0.2,3.1,6.4,1.5,2.0,0.83,0.32,0.47,0.0,
amirul adli bin azmi,SIN,181 cm,Right,5.0,D,0.0,0,0.92,0.58,0.33,2.0,5.1,2.6,1.5,1.0,0.38,0.58,0.0,
amirul haikal hassim,SIN,162 cm,Left,17.0,D,0.0,0,0.7,1.0,0.0,1.0,2.3,0.0,0.0,0.33,0.75,1.0,0.0,
syahrul sazali,SIN,179 cm,Right,22.0,D,0.0,0,0.85,1.0,0.5,0.5,1.5,0.3,0.0,0.0,0.75,0.0,0.0,
syazwan buhari,SIN,172 cm,Right,24.0,G,0.0,0,0.93,0.7,0.0,2.0,7.5,0.2,0.4,1.0,0.62,1.0,4.0,0.66
ridhuan barudin,SIN,182 cm,Right,31.0,G,0.0,0,0.79,0.44,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
shawal anuar,SIN,164 cm,Right,7.0,F,0.6,6,0.79,0.29,0.42,1.8,3.3,0.6,0.4,0.73,0.34,0.34,,
haiqal pashia,SIN,161 cm,Right,23.0,F,0.1,1,0.9,1.0,1.0,0.0,0.9,0.3,0.3,0.73,0.48,0.0,,
song ui young,SIN,172 cm,Right,15.0,M,0.3,0,0.82,0.47,0.33,1.3,2.6,0.3,0.3,0.76,0.42,0.54,,
adam swandi,SIN,170 cm,Right,27.0,M,0.3,1,0.82,0.55,0.33,1.9,2.4,1.0,0.0,0.67,0.31,0.29,,
hami syahin,SIN,166 cm,Right,16.0,M,0.0,0,0.9,0.59,0.5,3.4,8.2,1.5,0.6,0.71,0.42,0.53,,
anumanthan kumar,SIN,178 cm,Right,6.0,M,0.0,0,0.93,0.88,0.0,0.7,2.6,0.3,0.2,1.0,0.31,0.8,,
hafiz nor,SIN,166 cm,Right,11.0,M,0.0,1,0.81,0.42,0.43,1.1,2.6,0.9,0.8,0.8,0.43,0.6,,
