x1_one_on_one,x2_goals,x3_passing_accuracy,x4_vision,x5_tackles,x6_strength,x7_speed,x8_aerial_duels,x9_dribbling,x10_stamina,Ball Playing Defender,Box to Box Midfielder,Goal Poacher,Midfield Playmaker,No Nonsense Defender,Sweeper Keeper,Target Man,Traditional Goalkeeper
4,2,11,93,26,76,63,84,1,49,1,1,0,0,0,0,0,0
88,44,80,92,55,67,71,89,74,28,,,,,,,,
36,79,46,92,80,35,61,55,77,99,,,,,,,,
70,34,59,29,0,86,93,56,99,89,,,,,,,,
84,27,94,99,28,9,35,55,91,91,,,,,,,,
94,42,80,91,16,47,90,85,46,39,,,,,,,,
2,15,7,33,62,59,21,21,55,81,,,,,,,,
61,32,19,0,33,45,93,24,47,49,,,,,,,,
86,91,26,72,18,92,95,97,5,48,,,,,,,,
18,47,92,41,62,21,70,98,52,16,,,,,,,,
19,57,28,39,3,15,46,28,30,20,,,,,,,,
1,28,10,60,28,67,37,64,80,6,,,,,,,,
94,41,94,37,44,70,77,51,99,38,,,,,,,,
81,77,3,92,89,89,58,44,36,48,,,,,,,,
49,85,90,67,9,21,94,96,60,36,,,,,,,,
51,85,53,51,72,51,98,71,81,30,,,,,,,,
15,57,90,30,2,71,44,75,41,36,,,,,,,,
11,2,41,48,90,39,17,23,58,79,,,,,,,,
81,39,91,26,89,58,68,23,49,99,,,,,,,,
34,72,53,32,64,8,54,32,99,95,,,,,,,,
38,0,67,37,71,83,96,95,94,1,,,,,,,,
11,69,78,78,61,43,71,28,96,83,,,,,,,,
39,23,89,33,99,47,34,86,66,55,,,,,,,,
95,60,10,23,27,95,12,33,11,53,,,,,,,,
81,82,96,2,51,61,85,27,33,58,,,,,,,,
72,25,84,34,38,18,31,11,40,95,,,,,,,,
47,38,75,60,58,88,93,3,94,22,,,,,,,,
35,23,16,91,28,0,7,52,98,25,,,,,,,,
80,48,42,34,30,13,94,9,77,69,,,,,,,,
92,74,51,61,3,7,38,23,59,35,,,,,,,,
13,90,25,96,6,61,42,3,7,71,,,,,,,,
82,45,40,37,51,24,65,74,69,87,,,,,,,,
26,84,86,18,19,14,45,11,44,15,,,,,,,,
22,92,95,66,15,67,64,42,39,15,,,,,,,,
5,45,60,44,5,0,15,23,71,50,,,,,,,,
22,92,95,66,15,67,64,42,39,15,,,,,,,,
5,45,60,44,5,0,15,23,71,50,,,,,,,,
22,92,95,66,15,67,64,42,39,15,,,,,,,,
5,45,60,44,5,0,15,23,71,50,,,,,,,,
22,92,95,66,15,67,64,42,39,15,,,,,,,,
5,45,60,44,5,0,15,23,71,50,,,,,,,,
23,44,72,15,95,71,55,93,6,5,,,,,,,,
96,18,24,49,31,65,85,28,31,48,,,,,,,,
72,38,16,88,82,45,40,46,11,33,,,,,,,,
99,11,70,21,63,82,60,99,95,58,,,,,,,,
58,25,24,3,52,87,59,6,95,56,,,,,,,,
15,70,44,16,73,34,21,31,3,39,,,,,,,,
19,40,52,6,80,76,20,38,18,98,,,,,,,,
78,82,19,27,68,95,4,26,6,95,,,,,,,,
3,46,9,11,33,46,16,20,17,56,,,,,,,,
81,34,0,70,64,90,38,24,63,92,,,,,,,,
82,93,83,64,68,59,9,22,84,89,,,,,,,,
53,59,94,15,92,68,58,46,69,63,,,,,,,,
64,69,31,16,62,6,69,6,74,77,,,,,,,,
3,87,52,1,6,17,55,38,46,89,,,,,,,,
43,7,22,33,44,9,86,84,58,90,,,,,,,,
8,97,76,75,2,18,19,72,69,20,,,,,,,,
1,74,70,43,25,94,33,26,49,40,,,,,,,,
51,96,24,50,14,19,36,13,36,74,,,,,,,,
35,27,73,51,9,11,46,29,48,48,,,,,,,,
52,19,64,77,58,9,54,94,38,78,,,,,,,,
41,39,57,39,81,78,58,68,75,26,,,,,,,,
35,76,35,1,80,12,64,6,85,17,,,,,,,,
12,18,21,11,84,38,47,33,5,92,,,,,,,,
15,45,75,17,9,71,25,89,66,29,,,,,,,,
21,88,13,73,12,29,56,9,74,80,,,,,,,,
19,2,26,70,38,47,9,31,57,35,,,,,,,,
55,21,37,48,2,88,39,54,54,27,,,,,,,,
58,18,24,41,0,64,9,85,20,75,,,,,,,,
12,29,22,30,26,80,59,64,95,82,,,,,,,,
9,52,52,13,64,61,37,33,79,16,,,,,,,,
31,30,95,57,95,31,84,95,27,5,,,,,,,,
89,22,49,19,23,59,86,86,64,30,,,,,,,,
56,62,14,53,12,33,56,98,51,6,,,,,,,,
90,45,65,39,27,99,5,83,88,0,,,,,,,,
7,40,24,18,26,87,32,9,43,90,,,,,,,,
9,17,91,71,24,38,29,52,65,65,,,,,,,,
33,1,74,93,53,28,8,53,34,84,,,,,,,,
86,68,76,40,94,70,9,6,66,87,,,,,,,,
74,96,96,27,13,85,17,38,67,52,,,,,,,,
70,15,49,17,90,91,6,68,90,87,,,,,,,,
98,22,76,17,83,81,62,7,51,59,,,,,,,,
75,72,0,72,8,23,18,88,90,89,,,,,,,,
42,3,69,23,38,13,4,74,34,37,,,,,,,,
45,46,81,50,39,41,30,54,75,39,,,,,,,,
69,74,18,97,16,87,34,67,31,66,,,,,,,,
