x1_one_on_one,x2_goals,x3_passing_accuracy,x4_vision,x5_tackles,x6_strength,x7_speed,x8_aerial_duels,x9_dribbling,x10_stamina,Ball Playing Defender,Box to Box Midfielder,Goal Poacher,Midfield Playmaker,No Nonsense Defender,Sweeper Keeper,Target Man,Traditional Goalkeeper
4,2,11,93,26,76,63,84,1,49,0,0,0,0,0,0,0,0
88,44,80,92,55,67,71,89,74,28,1,1,1,1,1,1,1,1
36,79,46,92,80,35,61,55,77,99,1,1,1,1,0,0,1,0
70,34,59,29,0,86,93,56,99,89,1,1,1,0,0,1,1,1
84,27,94,99,28,9,35,55,91,91,0,1,0,1,0,1,0,0
94,42,80,91,16,47,90,85,46,39,1,0,1,1,0,1,1,1
2,15,7,33,62,59,21,21,55,81,0,0,0,0,0,0,0,0
61,32,19,0,33,45,93,24,47,49,0,0,0,0,0,0,0,0
86,91,26,72,18,92,95,97,5,48,1,0,1,0,1,1,1,1
18,47,92,41,62,21,70,98,52,16,0,0,0,0,0,0,0,0
19,57,28,39,3,15,46,28,30,20,0,0,0,0,0,0,0,0
1,28,10,60,28,67,37,64,80,6,0,0,0,0,0,0,0,0
94,41,94,37,44,70,77,51,99,38,1,1,1,1,1,1,1,1
81,77,3,92,89,89,58,44,36,48,1,0,1,0,1,1,1,1
49,85,90,67,9,21,94,96,60,36,0,1,1,1,0,1,1,1
51,85,53,51,72,51,98,71,81,30,1,1,1,1,1,1,1,1
15,57,90,30,2,71,44,75,41,36,0,0,0,0,0,0,0,0
11,2,41,48,90,39,17,23,58,79,0,0,0,0,0,0,0,0
81,39,91,26,89,58,68,23,49,99,1,1,0,0,1,1,0,0
34,72,53,32,64,8,54,32,99,95,0,0,0,0,0,0,0,0
38,0,67,37,71,83,96,95,94,1,1,0,0,0,1,1,0,1
11,69,78,78,61,43,71,28,96,83,0,1,1,1,0,0,0,0
39,23,89,33,99,47,34,86,66,55,1,0,0,0,1,0,0,1
95,60,10,23,27,95,12,33,11,53,0,0,0,0,0,0,0,0
81,82,96,2,51,61,85,27,33,58,0,0,1,0,0,0,0,0
72,25,84,34,38,18,31,11,40,95,0,0,0,0,0,0,0,0
47,38,75,60,58,88,93,3,94,22,1,0,0,1,0,1,0,0
35,23,16,91,28,0,7,52,98,25,0,0,0,0,0,0,0,0
80,48,42,34,30,13,94,9,77,69,0,0,0,0,0,0,0,0
92,74,51,61,3,7,38,23,59,35,0,0,0,0,0,0,0,0
